"excel_row_number","product_name","size","sku","alternate_sku","transformed_sku","excel_inventory","excel_selling_price","shopify_product_title","shopify_variant_title","shopify_sku","current_shopify_inventory","shopify_variant_price","delta","action_taken","status","reason"
"49","Armani Exchange Polo","XXL","ARX-11-SSPOPO_MIX-WBK|XXL","ARX-11-SSPOPO_MIX-WBK|Black|XXL","ARX-11-SSPOPO_MIX-WBK-XXL","1","1499","Armani Exchange | Polo | Black","XXL","ARX-11-SSPOPO_MIX-WBK-XXL","1","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"50","Armani Exchange Polo","S","ARX-12-SSPOPO_MIX-HWT|S","ARX-12-SSPOPO_MIX-HWT|White|S","ARX-12-SSPOPO_MIX-HWT-S","1","1799","Armani Exchange | Polo | White","S","ARX-12-SSPOPO_MIX-HWT-S","1","1799","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"51","Armani Exchange Polo","M","ARX-12-SSPOPO_MIX-HWT|M","ARX-12-SSPOPO_MIX-HWT|White|M","ARX-12-SSPOPO_MIX-HWT-M","2","1799","Armani Exchange | Polo | White","M","ARX-12-SSPOPO_MIX-HWT-M","2","1799","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"52","Armani Exchange Polo","L","ARX-12-SSPOPO_MIX-HWT|L","ARX-12-SSPOPO_MIX-HWT|White|L","ARX-12-SSPOPO_MIX-HWT-L","2","1799","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: ARX-12-SSPOPO_MIX-HWT-M | ARX-12-SSPOPO_MIX-HWT-S | ARX-12-SSPOPO_MIX-HWT-XL | ARX-12-SSPOPO_MIX-HWT-XXL"
"53","Armani Exchange Polo","XL","ARX-12-SSPOPO_MIX-HWT|XL","ARX-12-SSPOPO_MIX-HWT|White|XL","ARX-12-SSPOPO_MIX-HWT-XL","3","1799","Armani Exchange | Polo | White","XL","ARX-12-SSPOPO_MIX-HWT-XL","3","1799","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"54","Armani Exchange Polo","XXL","ARX-12-SSPOPO_MIX-HWT|XXL","ARX-12-SSPOPO_MIX-HWT|White|XXL","ARX-12-SSPOPO_MIX-HWT-XXL","1","1799","Armani Exchange | Polo | White","XXL","ARX-12-SSPOPO_MIX-HWT-XXL","1","1799","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"55","Armani Exchange Polo","S","ARX-13-SSPOPO_MIX-BWH|S","ARX-13-SSPOPO_MIX-BWH|Black|S","ARX-13-SSPOPO_MIX-BWH-S","1","1499","Armani Exchange | Polo | Black","S","ARX-13-SSPOPO_MIX-BWH-S","1","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"56","Armani Exchange Polo","M","ARX-13-SSPOPO_MIX-BWH|M","ARX-13-SSPOPO_MIX-BWH|Black|M","ARX-13-SSPOPO_MIX-BWH-M","3","1499","Armani Exchange | Polo | Black","M","ARX-13-SSPOPO_MIX-BWH-M","3","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"57","Armani Exchange Polo","L","ARX-13-SSPOPO_MIX-BWH|L","ARX-13-SSPOPO_MIX-BWH|Black|L","ARX-13-SSPOPO_MIX-BWH-L","2","1499","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: ARX-13-SSPOPO_MIX-BWH-M | ARX-13-SSPOPO_MIX-BWH-S | ARX-13-SSPOPO_MIX-BWH-XL | ARX-13-SSPOPO_MIX-BWH-XXL"
"58","Armani Exchange Polo","XL","ARX-13-SSPOPO_MIX-BWH|XL","ARX-13-SSPOPO_MIX-BWH|Black|XL","ARX-13-SSPOPO_MIX-BWH-XL","2","1499","Armani Exchange | Polo | Black","XL","ARX-13-SSPOPO_MIX-BWH-XL","2","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
